region_i,region_j,site_1,site_2,abs_z,p_raw,is_diag,reject_fdr
1,28,NEUROIMAGE,PEKING,0.25855903790996054,0.7959754916789857,False,False
1,29,NEUROIMAGE,PEKING,1.1266728893931384,0.2598808088667134,False,False
1,30,NEUROIMAGE,PEKING,0.6587346886947782,0.5100661534636022,False,False
1,31,NEUROIMAGE,PEKING,1.1251691963065116,0.2605173436053839,False,False
1,32,NEUROIMAGE,PEKING,1.08474754226421,0.2780334849422669,False,False
1,33,NEUROIMAGE,PEKING,0.6733689817794901,0.5007125770444796,False,False
1,34,NEUROIMAGE,PEKING,0.8589171818872026,0.3903862092521423,False,False
1,35,NEUROIMAGE,PEKING,0.4855212897357072,0.627306614521383,False,False
1,36,NEUROIMAGE,PEKING,0.001707286595800929,0.9986377830461161,False,False
1,37,NEUROIMAGE,PEKING,0.7565857998229092,0.44929805138806755,False,False
1,38,NEUROIMAGE,PEKING,1.8325285886062663,0.06687270646327453,False,False
1,39,NEUROIMAGE,PEKING,1.4846568284733648,0.1376347533214038,False,False
1,40,NEUROIMAGE,PEKING,0.9259774011255257,0.35445772470479087,False,False
1,41,NEUROIMAGE,PEKING,0.7262445709484767,0.46768885272891136,False,False
1,42,NEUROIMAGE,PEKING,0.3365308958132154,0.7364705572902909,False,False
1,43,NEUROIMAGE,PEKING,0.7605518975518699,0.4469247601698314,False,False
1,44,NEUROIMAGE,PEKING,0.5725119758853537,0.5669751748395826,False,False
1,45,NEUROIMAGE,PEKING,1.6178212076593752,0.10570113456891497,False,False
1,46,NEUROIMAGE,PEKING,2.8499003361297865,0.004373293037456838,False,False
2,0,NEUROIMAGE,PEKING,1.20736427197678,0.22729188856858795,False,False
2,1,NEUROIMAGE,PEKING,1.9460301364214039,0.05165111967766547,False,False
2,2,NEUROIMAGE,PEKING,0.5157636728446056,0.606019477416635,True,False
2,3,NEUROIMAGE,PEKING,0.2037470943767446,0.8385511380460738,False,False
2,4,NEUROIMAGE,PEKING,0.9736962111355008,0.33020739911261243,False,False
2,5,NEUROIMAGE,PEKING,0.46249579892331616,0.6437258143063136,False,False
2,6,NEUROIMAGE,PEKING,0.2121043031447796,0.832025662658606,False,False
2,7,NEUROIMAGE,PEKING,0.3362675252321385,0.7366691365918235,False,False
2,8,NEUROIMAGE,PEKING,0.6641572801747677,0.506589652224219,False,False
2,9,NEUROIMAGE,PEKING,1.5500002722467103,0.12114145066002048,False,False
2,10,NEUROIMAGE,PEKING,0.21099479471304766,0.832891333144135,False,False
2,11,NEUROIMAGE,PEKING,1.9537079394412875,0.050735766829722695,False,False
2,12,NEUROIMAGE,PEKING,0.7546999798548837,0.4504290186130515,False,False
2,13,NEUROIMAGE,PEKING,1.234868412173821,0.21687948119393652,False,False
2,14,NEUROIMAGE,PEKING,1.7783876234779592,0.07534021397839853,False,False
2,15,NEUROIMAGE,PEKING,1.7710460793649636,0.07655303942044638,False,False
2,16,NEUROIMAGE,PEKING,0.22312827381057398,0.8234356736853594,False,False
2,17,NEUROIMAGE,PEKING,2.2955338391828346,0.021702549433083296,False,False
2,18,NEUROIMAGE,PEKING,1.6174815284039317,0.10577437975208025,False,False
2,19,NEUROIMAGE,PEKING,0.24386231502638844,0.8073374564035807,False,False
2,20,NEUROIMAGE,PEKING,0.9567164674350856,0.33871038407366727,False,False
2,21,NEUROIMAGE,PEKING,1.6652836277162453,0.09585618334939856,False,False
2,22,NEUROIMAGE,PEKING,0.3642017857071661,0.715707333628194,False,False
2,23,NEUROIMAGE,PEKING,1.3570478767200531,0.17476599857004194,False,False
2,24,NEUROIMAGE,PEKING,1.9212051961744445,0.05470584334697542,False,False
2,25,NEUROIMAGE,PEKING,1.7660274750994287,0.07739123951920568,False,False
2,26,NEUROIMAGE,PEKING,1.250143139911447,0.21124726326367238,False,False
2,27,NEUROIMAGE,PEKING,0.012231489606196267,0.9902409266296197,False,False
2,28,NEUROIMAGE,PEKING,1.2832530380848874,0.19940343974628427,False,False
2,29,NEUROIMAGE,PEKING,0.7907122131549343,0.4291119474877241,False,False
2,30,NEUROIMAGE,PEKING,2.0244663231051736,0.04292219365790927,False,False
2,31,NEUROIMAGE,PEKING,1.0610806276493348,0.28865326093430443,False,False
2,32,NEUROIMAGE,PEKING,0.5868550472394138,0.5573010627375657,False,False
2,33,NEUROIMAGE,PEKING,2.3189351429535145,0.0203985532592748,False,False
2,34,NEUROIMAGE,PEKING,1.1584184611976964,0.24669330895023722,False,False
2,35,NEUROIMAGE,PEKING,0.5673626308362818,0.5704678332491134,False,False
2,36,NEUROIMAGE,PEKING,0.33267814188594175,0.7393772508589189,False,False
2,37,NEUROIMAGE,PEKING,0.14163826053221845,0.8873657440443335,False,False
2,38,NEUROIMAGE,PEKING,1.4225077036852931,0.15487891671973691,False,False
2,39,NEUROIMAGE,PEKING,3.521556949434109,0.0004290205057199968,False,True
2,40,NEUROIMAGE,PEKING,0.04221091587286981,0.9663305607091189,False,False
2,41,NEUROIMAGE,PEKING,0.8523059316316517,0.39404431468986867,False,False
2,42,NEUROIMAGE,PEKING,0.06811996544339731,0.945690137146302,False,False
2,43,NEUROIMAGE,PEKING,0.7225556015800982,0.46995295368321266,False,False
2,44,NEUROIMAGE,PEKING,1.191078462783053,0.23362278392137137,False,False
2,45,NEUROIMAGE,PEKING,1.9276038382377398,0.05390442110206968,False,False
2,46,NEUROIMAGE,PEKING,0.9302405842116835,0.35224653328147626,False,False
3,0,NEUROIMAGE,PEKING,0.24055250577512044,0.8099019641861326,False,False
3,1,NEUROIMAGE,PEKING,0.7614951096401138,0.44636139873034275,False,False
3,2,NEUROIMAGE,PEKING,0.33914083730073696,0.7345036357274539,False,False
3,3,NEUROIMAGE,PEKING,0.8313108926381491,0.40579802269979504,True,False
3,4,NEUROIMAGE,PEKING,0.3948163079900058,0.6929784586240594,False,False
3,5,NEUROIMAGE,PEKING,0.6376562141127063,0.5236974940868362,False,False
3,6,NEUROIMAGE,PEKING,0.8348481615087037,0.4038032050101896,False,False
3,7,NEUROIMAGE,PEKING,0.29852229574242123,0.7653045618867189,False,False
3,8,NEUROIMAGE,PEKING,2.9736060269041547,0.0029432270303303165,False,False
3,9,NEUROIMAGE,PEKING,2.1849473910267436,0.028892704171776574,False,False
3,10,NEUROIMAGE,PEKING,0.909374006947096,0.36315273757583244,False,False
3,11,NEUROIMAGE,PEKING,2.177661377935063,0.029431256316617013,False,False
3,12,NEUROIMAGE,PEKING,0.8702249993690622,0.38417745659319436,False,False
3,13,NEUROIMAGE,PEKING,0.5396624871423065,0.5894298146575208,False,False
3,14,NEUROIMAGE,PEKING,0.2014459153802438,0.8403499157172245,False,False
3,15,NEUROIMAGE,PEKING,0.417623250062098,0.6762225950237135,False,False
3,16,NEUROIMAGE,PEKING,2.1949743194377347,0.028165439938151723,False,False
3,17,NEUROIMAGE,PEKING,1.0657597555714897,0.2865322575611984,False,False
3,18,NEUROIMAGE,PEKING,0.6025226261638305,0.546826306749572,False,False
3,19,NEUROIMAGE,PEKING,0.41966327737799514,0.6747314554963499,False,False
3,20,NEUROIMAGE,PEKING,1.6263051421570245,0.10388475843065363,False,False
3,21,NEUROIMAGE,PEKING,0.5902800316740046,0.5550029243908575,False,False
3,22,NEUROIMAGE,PEKING,0.9513364173536947,0.34143362583741854,False,False
3,23,NEUROIMAGE,PEKING,0.9331881942039185,0.3507228091604413,False,False
3,24,NEUROIMAGE,PEKING,0.9758566858828162,0.32913548915607516,False,False
3,25,NEUROIMAGE,PEKING,0.717404705935068,0.4731244167454025,False,False
3,26,NEUROIMAGE,PEKING,1.3302429510854372,0.18343823684728056,False,False
3,27,NEUROIMAGE,PEKING,1.2612234520006098,0.20722835143898866,False,False
3,28,NEUROIMAGE,PEKING,0.5055623549338187,0.6131639143601066,False,False
3,29,NEUROIMAGE,PEKING,2.3515934878524867,0.018693191542097202,False,False
3,30,NEUROIMAGE,PEKING,0.5154697241315813,0.606224820808795,False,False
3,31,NEUROIMAGE,PEKING,0.16019340333084237,0.872728725669192,False,False
3,32,NEUROIMAGE,PEKING,0.10463501087003005,0.9166654325263607,False,False
3,33,NEUROIMAGE,PEKING,0.09988687516877087,0.9204341363336203,False,False
3,34,NEUROIMAGE,PEKING,0.2077955858243816,0.8353885793914291,False,False
3,35,NEUROIMAGE,PEKING,0.12077753884904034,0.9038672412508122,False,False
3,36,NEUROIMAGE,PEKING,1.1835943134420497,0.23657369250486415,False,False
3,37,NEUROIMAGE,PEKING,0.34554998133561043,0.7296809418249149,False,False
3,38,NEUROIMAGE,PEKING,0.3447641831732118,0.7302716616806102,False,False
3,39,NEUROIMAGE,PEKING,0.3301871397885408,0.7412585634082487,False,False
3,40,NEUROIMAGE,PEKING,0.4491122649783408,0.6533506731852062,False,False
3,41,NEUROIMAGE,PEKING,0.23090068193053245,0.8173919609456227,False,False
3,42,NEUROIMAGE,PEKING,0.744148729011195,0.4567865019587757,False,False
3,43,NEUROIMAGE,PEKING,0.04548669469093668,0.9637193800206724,False,False
3,44,NEUROIMAGE,PEKING,0.2521267128839438,0.8009431228803789,False,False
3,45,NEUROIMAGE,PEKING,2.101351530203188,0.035610119403466915,False,False
3,46,NEUROIMAGE,PEKING,1.6922405575936026,0.09060011640434872,False,False
4,0,NEUROIMAGE,PEKING,1.326891123706881,0.18454470102140175,False,False
4,1,NEUROIMAGE,PEKING,0.5504388154546019,0.5820184317764517,False,False
4,2,NEUROIMAGE,PEKING,0.4450660353956037,0.6562720330871599,False,False
4,3,NEUROIMAGE,PEKING,1.0336990622371416,0.30127687163801575,False,False
4,4,NEUROIMAGE,PEKING,0.7934847237901338,0.42749546608681155,True,False
4,5,NEUROIMAGE,PEKING,1.9541231839878832,0.050686650907093546,False,False
4,6,NEUROIMAGE,PEKING,1.3862053993274004,0.16568419327686712,False,False
